NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.2239739,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.369639,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.3965644,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.4327814,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.5080521,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.610545,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.7098919,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.8024343,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,0.9058471,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,1.000404,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,5,15,27,1.103013,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,5,15,27,1.203162,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,5,15,27,1.302312,1
0,1,2,2,0,1.707554,0.3085001,0.3085,15,3,27,27,3,27,1,2,100,100,15,27,1.403106,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,15,27,1.502016,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,15,27,1.601704,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,15,27,1.702489,1
0,1,2,2,0,3.707552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,15,27,1.801988,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,15,27,1.90074,0
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,100,100,15,27,2.000112,0
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.100324,0
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.203413,0
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.303726,0
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.401927,0
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.500404,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.60281,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.703207,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.801807,1
1,1,2,1,18.70756,5.907552,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,2.90238,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.003459,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.102447,1
1,1,2,1,17.10755,7.507559,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.22265,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.301935,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.400432,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.501553,1
1,1,2,2,15.20754,9.407566,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.602194,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.703,1
1,1,2,1,14.20754,10.40757,0.3085001,8.307555,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.802905,1
1,1,2,2,13.70754,10.90757,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,3.900082,1
1,1,2,2,13.20754,11.40757,0.3085001,0.3085001,15,3,27.3,27,3,27.3,1,2,100,100,15,27,4.000772,1
1,1,2,2,12.70753,11.90758,0.3085001,0.3085001,15,3,26.8,27,3,27.3,1,2,100,100,15,27,4.101754,1
1,1,2,2,12.20753,12.40758,0.3085001,0.3085001,15,3,26.3,27,3,27.3,1,2,100,100,15,27,4.202161,1
1,1,2,2,11.70753,12.90758,0.3085001,0.3085001,15,3,25.8,27,3,27.3,1,2,100,100,15,27,4.302051,1
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,25.29999,27,3,27.3,1,2,100,100,15,27,4.402829,1
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,24.79999,27,3,27.3,1,2,100,100,15,27,4.501743,1
1,1,1,1,10.20753,14.40758,2.307555,8.307554,15,3,24.29999,27,3,27.3,1,2,100,100,15,27,4.602086,1
1,1,2,2,9.707524,14.90759,0.3085001,0.3085001,15,3,23.79999,27,3,27.3,1,2,100,100,15,27,4.700417,1
1,1,2,2,9.207522,15.40759,0.3085001,0.3085001,15,3,23.29999,27,3,27.3,1,2,100,100,15,27,4.803263,1
1,1,2,2,8.70752,15.90759,0.3085001,0.3085001,15,3,22.79998,27,3,27.3,1,2,100,100,15,27,4.901113,1
1,1,2,2,8.207519,16.40759,0.3085001,0.3085001,15,3,22.29998,27,3,27.3,1,2,100,100,15,27,5.002793,1
1,1,2,2,7.807517,16.80759,0.3085001,0.3085001,15,3,21.79998,27,3,27.3,1,2,100,100,15,27,5.102754,0
1,1,2,2,7.807517,16.80759,0.3085001,0.3085001,15,3,21.29998,27,3,27.3,1,2,100,100,15,27,5.201869,0
1,1,2,2,7.807517,16.80759,0.3085001,0.3085001,15,3,20.79998,27,3,27.3,1,2,100,100,15,27,5.302336,0
1,1,2,2,7.807517,16.80759,0.3085001,0.3085001,15,3,20.29997,27,3,27.3,1,2,100,100,15,27,5.400705,0
1,1,2,2,7.807517,16.80759,0.3085001,0.3085001,15,3,19.79997,27,3,27.3,1,2,100,100,15,27,5.500022,0
1,1,2,2,7.407516,17.2076,0.3085001,0.3085001,15,3,19.29997,27,3,27.3,1,2,100,100,15,27,5.600774,1
1,1,2,2,6.907513,17.7076,0.3085,0.3085,15,3,18.79997,27,3,27.3,1,2,100,100,15,27,5.703788,1
1,1,2,2,6.407511,18.2076,0.3085001,0.3085001,15,3,18.29997,27,3,27.3,1,2,100,100,15,27,5.802475,1
1,1,2,2,5.90751,18.7076,0.3085001,0.3085001,15,3,17.79996,27,3,27.3,1,2,100,100,15,27,5.901947,1
1,1,2,2,5.407508,19.2076,0.3085001,0.3085001,15,3,17.29996,27,3,27.3,1,2,100,100,15,27,6.001127,1
1,1,2,2,5.307507,19.3076,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.102106,0
5,1,2,2,3.808471,19.3076,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.201376,0
5,1,2,2,3.808471,19.3076,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.300622,0
5,1,2,2,3.808471,19.3076,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.403379,0
1,1,2,2,5.307507,19.3076,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.503191,0
1,1,2,2,5.107506,19.5076,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.600908,1
1,0,2,2,4.607504,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.700542,1
1,0,2,2,4.107503,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.803322,1
1,0,2,2,3.607501,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,6.902505,1
1,0,2,2,3.107499,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.002564,1
1,0,2,2,2.607497,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.10174,1
1,0,2,2,2.107495,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.202836,1
1,0,2,2,1.607493,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.30239,1
1,0,2,2,1.107491,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.401536,1
1,0,2,2,0.7074898,0,0.3085001,0.3085001,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.500749,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.603319,4
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,3,27.3,1,2,100,100,15,27,7.702725,4
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,3,27.3,0,2,100,100,15,27,7.802238,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,3,27.3,0,2,100,100,15,27,7.900487,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,3,27.3,0,2,100,100,15,27,8.001019,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,2.7,27.3,0,2,100,100,15,27,8.100406,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,2.7,27.3,0,2,100,100,15,27,8.201789,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,2.7,27.3,0,2,100,100,15,27,8.303221,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,8.402258,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,8.503234,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,8.603044,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,8.703205,0
1,0,2,2,0.7074898,0,0.6085013,0.008498904,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,8.802431,0
1,0,2,2,0.7074898,0,0.3085001,0.3085001,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,8.900904,3
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,9.001203,3
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,9.101555,3
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.201724,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.300653,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.401239,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.500012,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.60108,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.702705,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.802495,0
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,9.90209,3
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.00264,3
1,0,2,2,0.7074898,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.10174,0
1,0,2,2,1.007491,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.2022,2
1,0,2,2,1.507493,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.30007,2
1,0,2,2,2.007495,0,0.008498904,0.6085012,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.40229,2
1,0,2,2,2.307496,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.50347,0
1,0,2,2,2.307496,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.6033,0
1,0,2,2,2.307496,0,0.008498904,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.70252,3
1,0,2,2,2.307496,0,1.008499,0.6085013,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.80177,3
1,2,2,2,2.307496,0.3085592,0.5084971,1.108503,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,10.90247,3
1,2,2,2,2.307496,0.3085592,0.00849509,1.608505,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,11.00243,3
1,2,2,2,2.307496,0.3085592,2.608493,2.008507,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,11.10169,3
1,2,2,2,2.307496,0.3085592,2.108492,2.508508,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,11.20089,3
1,2,0,2,2.307496,0.3085592,0,3.00851,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,11.3027,3
1,2,2,2,2.307496,0.3085592,2.108488,3.508512,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,11.40135,3
1,1,2,2,2.307496,2.307614,1.608486,4.008513,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,11.50162,3
1,1,2,2,2.307496,2.307614,4.108483,4.508516,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,11.60258,3
1,2,2,2,2.307496,0.3085592,3.608482,5.008518,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,11.70062,3
6,2,0,2,0.9576921,0.3085592,0,5.50852,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,11.80344,3
6,2,0,2,0.9576921,0.3085592,0,6.008522,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,11.90034,3
6,2,2,2,0.9576921,0.3085592,3.308477,6.308523,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,12.00293,0
6,2,2,2,0.657691,0.6085604,3.308477,6.308523,15,3,17.29996,27.3,100,100,0,2,100,100,15,27,12.10238,1
6,2,2,2,0.157689,1.108562,3.308477,6.308523,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,12.20122,1
6,2,2,2,0.157689,1.108562,3.308477,6.308523,15,3,17.29996,27.3,100,100,1,2,100,100,15,27,12.30036,0
1,2,2,2,1.507493,1.108562,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,12.40278,0
1,2,2,2,1.507493,1.108562,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,12.50242,0
0,2,2,2,0,1.108562,3.308477,6.308523,15,3,100,100,100,100,0,2,100,100,15,27,12.60339,0
1,2,2,2,1.507493,1.108562,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,12.70078,0
1,2,2,2,1.507493,1.108562,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,12.80346,0
1,2,2,2,1.507493,1.108562,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,12.9023,0
1,2,2,2,1.507493,1.108562,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,13.00233,0
1,2,2,2,1.907494,0.7085608,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,13.10222,2
1,2,2,2,2.207496,0.4085596,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,13.20074,0
1,2,2,2,2.207496,0.4085596,3.308477,6.308523,15,3,100,100,100,100,1,2,100,100,15,27,13.3011,0
1,2,2,2,2.207496,0.4085596,3.508478,6.108522,15,3,100,100,100,100,1,2,100,100,15,27,13.40299,4
1,2,2,2,2.207496,0.4085596,3.808479,5.808521,15,3,100,100,100,100,1,2,100,100,15,27,13.50004,0
1,2,2,2,2.207496,0.4085596,3.808479,5.808521,15,3,100,100,100,100,1,2,100,100,15,27,13.601,0
1,2,2,2,2.207496,0.4085596,3.808479,5.808521,15,3,100,100,100,100,1,2,100,100,15,27,13.70182,0
1,2,2,2,2.207496,0.4085596,3.508478,6.108522,15,3,100,100,100,100,1,2,100,100,15,27,13.80036,3
1,2,2,2,2.207496,0.4085596,3.008476,6.608524,15,3,100,100,100,100,1,2,100,100,15,27,13.90291,3
1,2,2,2,2.207496,0.4085596,2.508474,7.108526,15,3,100,100,100,100,1,2,100,100,15,27,14.00084,3
1,2,2,2,2.207496,0.4085596,2.008472,7.608528,15,3,100,100,100,100,1,2,100,100,15,27,14.10284,3
1,0,2,2,2.207496,0,1.50847,8.10853,15,3,100,100,100,100,1,2,100,100,15,27,14.20153,3
1,0,2,2,2.207496,0,1.30847,8.308531,15,3,100,100,100,100,1,2,100,100,15,27,14.30303,0
1,0,2,2,2.207496,0,1.30847,8.308531,15,3,100,100,100,100,1,2,100,100,15,27,14.40312,0
1,0,2,2,2.207496,0,1.30847,8.308531,15,3,100,100,100,100,1,2,100,100,15,27,14.50043,0
1,0,2,2,2.207496,0,1.008468,8.608532,15,3,100,100,100,100,1,2,100,100,15,27,14.60169,3
1,2,2,2,2.207496,0.4085596,0.5084665,9.108534,15,3,100,100,100,100,1,2,100,100,15,27,14.70023,3
1,2,2,2,2.207496,0.4085596,0.008464572,9.608536,15,3,100,100,100,100,1,2,100,100,15,27,14.80277,3
1,2,2,2,2.307496,0.3085592,0.008464572,9.608536,15,3,100,100,100,100,1,2,100,100,15,27,14.90241,2
1,2,2,2,2.607497,0.008558032,3.008465,9.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.00188,2
1,2,2,2,2.607497,0.008558032,3.008465,9.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.10117,2
1,2,2,2,2.807498,0.8085573,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.20313,2
1,2,2,2,3.3075,0.3085554,0.008464572,1.608535,15,3,100,100,100,100,1,2,100,100,15,27,15.30206,2
1,2,2,2,3.707501,0.908554,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.40157,2
1,2,2,2,4.207503,0.408552,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.50346,2
1,2,2,2,4.607504,0.008550403,0.008464572,1.608535,15,3,100,100,100,100,0,2,100,100,15,27,15.60067,2
1,2,2,2,5.007506,0.6085489,0.008464572,1.608535,15,3,100,100,100,100,1,2,100,100,15,27,15.70079,2
1,2,2,2,5.507508,0.108547,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.80057,2
1,2,2,2,5.907509,0.7085455,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,15.90202,2
1,2,2,2,6.407511,0.2085435,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,16.00143,2
1,2,2,2,6.807513,0.8085421,0.008464572,1.608536,15,3,100,100,100,100,1,2,100,100,15,27,16.10154,2
1,2,2,2,7.207515,0.4085405,0.008464572,1.608535,15,3,100,100,100,100,1,2,100,100,15,27,16.20227,4
1,2,2,2,7.207514,0.4085405,0.3084657,1.308534,15,3,100,100,100,100,1,2,100,100,15,27,16.30343,4
1,2,2,2,7.207514,0.4085405,0.8084677,0.8085325,15,3,100,100,100,100,1,2,100,100,15,27,16.40001,4
1,1,2,2,7.207515,17.4076,1.30847,0.3085306,15,3,100,100,100,100,1,2,100,100,15,27,16.5001,4
2,2,2,2,0.2084596,3.408541,1.808471,0.8085287,15,3,100,100,100,100,1,2,100,100,15,27,16.60414,4
2,2,2,2,0.2084596,3.40854,2.308473,0.3085268,15,3,100,100,100,100,1,2,100,100,15,27,16.70065,4
2,2,2,1,0.2084596,0.4085405,2.708475,0.9075802,15,3,100,100,100,100,1,2,100,100,15,27,16.80105,4
2,2,2,1,0.2084596,0.4085405,3.208477,0.4075783,15,3,100,100,100,100,1,2,100,100,15,27,16.9025,4
2,2,2,1,0.2084596,0.4085405,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.00049,4
2,2,2,1,0.2084596,0.4085405,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.10164,4
2,2,2,1,0.2084596,0.4085405,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.20691,4
2,2,2,1,0.6084612,0.008538959,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.30125,2
2,2,2,1,0.6084612,0.008538959,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.40322,2
2,2,2,1,0.6084612,0.008538959,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.50297,2
2,2,2,1,0.6084612,3.008539,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.60299,4
2,2,2,1,0.6084612,3.008539,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.70158,4
2,2,2,1,0.6084612,3.008539,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.80018,4
2,2,2,1,0.6084612,3.008539,3.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,17.90232,4
2,2,2,1,0.7084616,2.908539,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,18.00447,2
2,2,2,2,1.208463,2.408537,2.608478,2.008522,15,3,100,100,100,100,1,2,100,100,15,27,18.10246,2
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,18.20317,2
2,2,2,1,2.208467,1.408533,2.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,18.30173,2
2,2,2,1,2.308468,1.308532,2.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,18.40258,4
2,2,2,1,2.308468,1.308532,2.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,18.50191,4
2,2,2,1,2.208467,1.408533,2.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,18.60154,1
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,18.70243,1
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,18.80268,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,18.90257,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,19.00176,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,19.10103,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,19.20148,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576822,15,3,100,100,100,100,0,2,100,100,15,27,19.30107,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,19.40276,4
2,2,2,1,1.708465,1.908534,2.608478,0.007576823,15,3,100,100,100,100,1,2,100,100,15,27,19.50221,4
2,2,2,1,1.808466,1.808534,2.608479,0.007576822,15,3,100,100,100,100,1,2,100,100,15,27,19.60302,2
